Episode	Score	Epsilon
1	220.0	1.0000
2	260.0	1.0000
3	400.0	1.0000
4	290.0	1.0000
5	80.0	1.0000
6	620.0	1.0000
7	200.0	1.0000
8	290.0	1.0000
9	230.0	1.0000
10	410.0	1.0000
11	130.0	1.0000
12	180.0	1.0000
13	220.0	1.0000
14	330.0	1.0000
15	620.0	1.0000
16	170.0	1.0000
17	550.0	1.0000
18	250.0	1.0000
19	150.0	1.0000
20	370.0	1.0000
21	1060.0	1.0000
22	650.0	1.0000
23	180.0	1.0000
24	180.0	1.0000
25	400.0	1.0000
26	250.0	1.0000
27	230.0	1.0000
28	140.0	1.0000
29	170.0	1.0000
30	320.0	1.0000
31	200.0	1.0000
32	330.0	1.0000
33	260.0	1.0000
34	170.0	1.0000
35	220.0	1.0000
36	240.0	1.0000
37	220.0	1.0000
38	160.0	1.0000
39	190.0	1.0000
40	230.0	1.0000
41	380.0	1.0000
42	350.0	1.0000
43	160.0	1.0000
44	350.0	1.0000
45	250.0	1.0000
46	630.0	1.0000
47	190.0	1.0000
48	160.0	1.0000
49	200.0	1.0000
50	300.0	1.0000
51	180.0	1.0000
52	160.0	1.0000
53	290.0	1.0000
54	270.0	1.0000
55	240.0	1.0000
56	230.0	1.0000
57	320.0	1.0000
58	190.0	1.0000
59	240.0	1.0000
60	190.0	1.0000
61	350.0	1.0000
62	230.0	1.0000
63	200.0	1.0000
64	190.0	1.0000
65	610.0	1.0000
66	240.0	1.0000
67	320.0	1.0000
68	640.0	1.0000
69	290.0	1.0000
70	270.0	1.0000
71	220.0	1.0000
72	290.0	1.0000
73	160.0	1.0000
74	230.0	1.0000
75	220.0	1.0000
76	160.0	1.0000
77	290.0	1.0000
78	270.0	1.0000
79	160.0	1.0000
80	330.0	1.0000
81	290.0	1.0000
82	230.0	1.0000
83	170.0	1.0000
84	190.0	1.0000
85	180.0	1.0000
86	350.0	1.0000
87	190.0	1.0000
88	210.0	1.0000
89	250.0	1.0000
90	320.0	1.0000
91	190.0	1.0000
92	150.0	1.0000
93	180.0	1.0000
94	360.0	1.0000
95	220.0	1.0000
96	480.0	1.0000
97	270.0	1.0000
98	300.0	1.0000
99	180.0	1.0000
100	330.0	1.0000
101	180.0	1.0000
102	150.0	1.0000
103	220.0	1.0000
104	270.0	1.0000
105	260.0	1.0000
106	220.0	1.0000
107	330.0	1.0000
108	140.0	1.0000
109	190.0	1.0000
110	200.0	1.0000
111	270.0	1.0000
112	240.0	1.0000
113	190.0	1.0000
114	210.0	1.0000
115	120.0	1.0000
116	170.0	1.0000
117	300.0	1.0000
118	250.0	1.0000
119	270.0	1.0000
120	310.0	1.0000
121	200.0	1.0000
122	280.0	1.0000
123	540.0	1.0000
124	320.0	1.0000
125	220.0	1.0000
126	290.0	1.0000
127	460.0	1.0000
128	140.0	1.0000
129	150.0	1.0000
130	200.0	1.0000
131	250.0	1.0000
132	200.0	1.0000
133	260.0	1.0000
134	160.0	1.0000
135	190.0	1.0000
136	90.0	1.0000
137	210.0	1.0000
138	150.0	1.0000
139	210.0	1.0000
140	350.0	1.0000
141	260.0	1.0000
142	360.0	1.0000
143	270.0	1.0000
144	190.0	1.0000
145	200.0	1.0000
146	220.0	1.0000
147	160.0	1.0000
148	220.0	1.0000
149	340.0	1.0000
150	370.0	1.0000
151	190.0	1.0000
152	460.0	1.0000
153	160.0	1.0000
154	620.0	1.0000
155	220.0	1.0000
156	290.0	1.0000
157	280.0	1.0000
158	230.0	1.0000
159	580.0	1.0000
160	120.0	1.0000
161	140.0	1.0000
162	220.0	1.0000
163	160.0	1.0000
164	220.0	1.0000
165	120.0	1.0000
166	290.0	1.0000
167	170.0	1.0000
168	260.0	1.0000
169	140.0	1.0000
170	310.0	1.0000
171	280.0	1.0000
172	250.0	1.0000
173	340.0	1.0000
174	410.0	1.0000
175	770.0	1.0000
176	470.0	1.0000
177	260.0	1.0000
178	200.0	1.0000
179	220.0	1.0000
180	210.0	1.0000
181	220.0	1.0000
182	240.0	1.0000
183	280.0	1.0000
184	240.0	1.0000
185	250.0	1.0000
186	200.0	1.0000
187	180.0	1.0000
188	290.0	1.0000
189	210.0	1.0000
190	300.0	1.0000
191	320.0	1.0000
192	250.0	1.0000
193	250.0	1.0000
194	190.0	1.0000
195	180.0	1.0000
196	260.0	1.0000
197	220.0	1.0000
198	190.0	1.0000
199	300.0	1.0000
200	170.0	1.0000
201	330.0	1.0000
202	300.0	1.0000
203	240.0	1.0000
204	240.0	1.0000
205	270.0	1.0000
206	200.0	1.0000
207	180.0	1.0000
208	240.0	1.0000
209	260.0	1.0000
210	220.0	1.0000
211	250.0	1.0000
212	210.0	1.0000
213	210.0	1.0000
214	290.0	1.0000
215	270.0	1.0000
216	150.0	1.0000
217	190.0	1.0000
218	140.0	1.0000
219	300.0	1.0000
220	230.0	1.0000
221	250.0	1.0000
222	230.0	1.0000
223	210.0	1.0000
224	250.0	1.0000
225	240.0	1.0000
226	180.0	1.0000
227	700.0	1.0000
228	300.0	1.0000
229	160.0	1.0000
230	460.0	1.0000
231	210.0	1.0000
232	200.0	1.0000
233	230.0	1.0000
234	1880.0	1.0000
235	220.0	1.0000
236	200.0	1.0000
237	280.0	1.0000
238	310.0	1.0000
239	290.0	1.0000
240	310.0	1.0000
241	380.0	1.0000
242	290.0	1.0000
243	190.0	1.0000
244	150.0	1.0000
245	170.0	1.0000
246	150.0	1.0000
247	380.0	1.0000
248	190.0	1.0000
249	150.0	1.0000
250	160.0	1.0000
251	160.0	1.0000
252	730.0	1.0000
253	160.0	1.0000
254	190.0	1.0000
255	450.0	1.0000
256	220.0	1.0000
257	230.0	1.0000
258	190.0	1.0000
259	280.0	1.0000
260	190.0	1.0000
261	130.0	1.0000
262	190.0	1.0000
263	250.0	1.0000
264	370.0	1.0000
265	240.0	1.0000
266	180.0	1.0000
267	380.0	1.0000
268	200.0	1.0000
269	340.0	1.0000
270	1130.0	1.0000
271	340.0	1.0000
272	270.0	1.0000
273	510.0	1.0000
274	150.0	1.0000
275	250.0	1.0000
276	190.0	1.0000
277	270.0	1.0000
278	190.0	1.0000
279	330.0	1.0000
280	190.0	1.0000
281	300.0	1.0000
282	370.0	1.0000
283	290.0	1.0000
284	290.0	1.0000
285	150.0	1.0000
286	180.0	1.0000
287	170.0	1.0000
288	170.0	1.0000
289	190.0	1.0000
290	150.0	1.0000
291	220.0	1.0000
292	260.0	1.0000
293	160.0	1.0000
294	270.0	1.0000
295	240.0	1.0000
296	260.0	1.0000
297	130.0	1.0000
298	360.0	1.0000
299	170.0	1.0000
300	270.0	1.0000
301	260.0	1.0000
302	290.0	1.0000
303	170.0	1.0000
304	100.0	1.0000
305	170.0	1.0000
306	250.0	1.0000
307	240.0	1.0000
308	260.0	1.0000
309	150.0	1.0000
310	180.0	1.0000
311	210.0	1.0000
312	320.0	1.0000
313	180.0	1.0000
314	150.0	1.0000
315	210.0	1.0000
316	400.0	1.0000
317	280.0	1.0000
318	290.0	1.0000
319	230.0	1.0000
320	210.0	1.0000
321	280.0	1.0000
322	240.0	1.0000
323	300.0	1.0000
324	280.0	1.0000
325	310.0	1.0000
326	130.0	1.0000
327	210.0	1.0000
328	300.0	1.0000
329	270.0	1.0000
330	210.0	1.0000
331	240.0	1.0000
332	190.0	1.0000
333	130.0	1.0000
334	120.0	1.0000
335	200.0	1.0000
336	680.0	1.0000
337	270.0	1.0000
338	110.0	1.0000
339	140.0	1.0000
340	270.0	1.0000
341	260.0	1.0000
342	190.0	1.0000
343	210.0	1.0000
344	220.0	1.0000
345	170.0	1.0000
