Episode	Score	Epsilon
0	630.0	1.0
1	190.0	1.0
2	160.0	1.0
3	300.0	1.0
4	180.0	1.0
5	270.0	1.0
6	210.0	1.0
7	1080.0	1.0
8	280.0	1.0
9	170.0	1.0
10	230.0	1.0
11	250.0	1.0
12	160.0	1.0
13	210.0	1.0
14	290.0	1.0
15	200.0	1.0
16	230.0	1.0
17	220.0	1.0
18	240.0	1.0
19	280.0	1.0
20	600.0	0.09108200798387568
21	350.0	0.05
22	370.0	0.05
23	730.0	0.05
24	310.0	0.05
25	260.0	0.05
26	820.0	0.05
27	470.0	0.05
28	260.0	0.05
29	160.0	0.05
30	280.0	0.05
31	580.0	0.05
32	330.0	0.05
33	600.0	0.05
34	510.0	0.05
35	660.0	0.05
36	350.0	0.05
37	360.0	0.05
38	230.0	0.05
39	920.0	0.05
40	650.0	0.05
41	610.0	0.05
42	620.0	0.05
43	230.0	0.05
44	390.0	0.05
45	670.0	0.05
46	700.0	0.05
47	980.0	0.05
48	260.0	0.05
49	690.0	0.05
50	650.0	0.05
51	1060.0	0.05
52	460.0	0.05
53	680.0	0.05
54	360.0	0.05
55	440.0	0.05
56	510.0	0.05
57	600.0	0.05
58	690.0	0.05
59	700.0	0.05
60	670.0	0.05
61	800.0	0.05
62	290.0	0.05
63	400.0	0.05
64	330.0	0.05
65	730.0	0.05
66	290.0	0.05
67	890.0	0.05
68	520.0	0.05
69	400.0	0.05
70	720.0	0.05
71	450.0	0.05
72	420.0	0.05
73	1340.0	0.05
74	210.0	0.05
75	1020.0	0.05
76	260.0	0.05
77	530.0	0.05
78	1000.0	0.05
79	540.0	0.05
80	910.0	0.05
81	570.0	0.05
82	1440.0	0.05
83	440.0	0.05
84	850.0	0.05
85	220.0	0.05
86	720.0	0.05
87	780.0	0.05
88	860.0	0.05
89	430.0	0.05
90	1070.0	0.05
91	490.0	0.05
92	570.0	0.05
93	450.0	0.05
94	480.0	0.05
95	850.0	0.05
96	1580.0	0.05
97	540.0	0.05
98	720.0	0.05
99	360.0	0.05
100	350.0	0.05
101	290.0	0.05
102	870.0	0.05
103	420.0	0.05
104	240.0	0.05
105	640.0	0.05
106	1140.0	0.05
107	530.0	0.05
108	350.0	0.05
109	960.0	0.05
110	1300.0	0.05
111	450.0	0.05
112	1270.0	0.05
113	470.0	0.05
114	1060.0	0.05
115	450.0	0.05
116	1380.0	0.05
117	410.0	0.05
118	800.0	0.05
119	1550.0	0.05
120	650.0	0.05
121	2120.0	0.05
122	940.0	0.05
123	520.0	0.05
124	900.0	0.05
125	920.0	0.05
126	420.0	0.05
127	330.0	0.05
128	390.0	0.05
129	730.0	0.05
130	410.0	0.05
131	400.0	0.05
132	340.0	0.05
133	700.0	0.05
134	530.0	0.05
135	470.0	0.05
136	450.0	0.05
137	570.0	0.05
138	950.0	0.05
139	430.0	0.05
140	480.0	0.05
141	820.0	0.05
142	780.0	0.05
143	380.0	0.05
144	1890.0	0.05
145	930.0	0.05
146	650.0	0.05
147	1050.0	0.05
148	690.0	0.05
149	430.0	0.05
150	580.0	0.05
151	310.0	0.05
152	800.0	0.05
153	540.0	0.05
154	320.0	0.05
155	890.0	0.05
156	310.0	0.05
157	440.0	0.05
158	420.0	0.05
159	800.0	0.05
160	670.0	0.05
161	570.0	0.05
162	590.0	0.05
163	720.0	0.05
164	810.0	0.05
165	170.0	0.05
166	350.0	0.05
167	380.0	0.05
168	690.0	0.05
169	2230.0	0.05
170	1120.0	0.05
171	910.0	0.05
172	810.0	0.05
173	1020.0	0.05
174	1220.0	0.05
175	720.0	0.05
176	350.0	0.05
177	680.0	0.05
178	420.0	0.05
179	620.0	0.05
180	730.0	0.05
181	480.0	0.05
182	720.0	0.05
183	420.0	0.05
184	430.0	0.05
185	330.0	0.05
186	390.0	0.05
187	700.0	0.05
188	1160.0	0.05
189	930.0	0.05
190	630.0	0.05
191	560.0	0.05
192	1020.0	0.05
193	1730.0	0.05
194	960.0	0.05
195	370.0	0.05
